ā,a1
lá,la2
lǎ,la3
là,la4
la,la5
lāng,lang1
láng,lang2
lǎng,lang3
làng,lang4
lang,lang5
lán,lan2
lǎn,lan3
làn,lan4
lan,lan5
lāo,lao1
láo,lao2
lǎo,lao3
lào,lao4
lao,lao5
lēi,lei1
léi,lei2
lěi,lei3
lèi,lei4
lei,lei5
lē,le1
lè,le4
le,le5
lēng,leng1
léng,leng2
lěng,leng3
lèng,leng4
liǎ,lia3
liáng,liang2
liǎng,liang3
liang,liang5
liàng,liang5
lián,lian2
liǎn,lian3
liàn,lian4
lian,lian5
liāo,ljiao1
liáo,liao2
liǎo,liao3
liào,liao4
liao,liao5
lie,le5
liē,lie1
liě,lie3
liè,lie4
lī,li1
lí,li2
lǐ,li3
lì,li4
li,li5
líng,ling2
lǐng,ling3
lìng,ling4
ling,ling5
līn,lin1
lín,lin2
lǐn,lin3
lìn,lin4
liū,liu1
liú,liu2
liǔ,liu3
liù,liu4
liu,liu5
lo,lo5
lóng,long2
lǒng,long2
lòng,long4
long,long5
lōu,lou1
lóu,lou2
lǒu,lou2
lòu,lou4
luán,luan2
luǎn,luan3
luàn,luan4
lüè,lu:e2
lū,lu1
lú,lu2
lǘ,lu:2
lǔ,lu3
lǚ,lu:3
lù,lu4
lǜ,lu:4
lu,lu5
lü,lu:5
lūn,lun1
lún,lun2
lǔn,lun3
lùn,lun4
lun,lun5
luō,luo1
luó,luo2
luǒ,luo2
luò,luo4
mái,mai2
mǎi,mai3
mài,mai4
mā,ma1
má,ma2
mǎ,ma3
mà,ma4
ma,ma5
māng,mang1
máng,mang2
mǎng,mang3
màng,mang4
mān,man1
mán,man2
mǎn,man3
màn,man4
man,man5
māo,mao1
máo,mao2
mǎo,mao3
mào,mao4
méi,mei2
měi,mei3
mèi,mei4
mei,mei5
me,me5
méng,meng2
měng,meng3
mèng,meng4
meng,meng5
mén,men2
mèn,men4
men,men5
mián,mian2
miǎn,mian3
miàn,mian4
miāo,mjiao1
miáo,miao2
miǎo,miao3
miào,miao4
miē,mie1
mié,mie2
miè,mie4
mī,mi1
mí,mi2
mǐ,mi3
mì,mi4
míng,ming2
mǐng,ming3
mìng,ming4
ming,ming5
mín,min2
mǐn,min3
min,min5
miǔ,miu3
miù,miu4
ḿ,m2
mō,mo1
mó,mo2
mǒ,mo2
mò,mo4
mo,mo5
mōu,mou1
móu,mou2
mǒu,mou2
mòu,mou4
mú,mu2
mǔ,mu3
mù,mu4
mu,mu5
nái,nai2
nǎi,nai3
nài,nai4
ná,na2
nǎ,na3
